Date,Description,Transaction Type,Amount,Category,Payment Method,Merchant,Balance
2024-03-23,Streaming Service,Debit,-8.99,Entertainment,Online Payment,Peacock,1122.65
2024-03-24,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,1117.90
2024-03-24,Gasoline,Debit,-37.90,Transportation,Debit Card,Exxon,1080.00
2024-03-24,Lunch,Debit,-16.00,Dining Out,Debit Card,Chipotle,1064.00
2024-03-25,Salary Payment,Credit,2500.00,Income,Direct Deposit,Employer Inc.,3564.00
2024-03-25,Car Payment,Debit,-300.00,Transportation,ACH Transfer,Auto Finance Co.,3264.00
2024-03-25,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,3259.25
2024-03-26,Grocery Shopping,Debit,-140.00,Groceries,Debit Card,Whole Foods,3119.25
2024-03-26,Lunch,Debit,-15.00,Dining Out,Debit Card,Taco Bell,3104.25
2024-03-26,Clothing Purchase,Debit,-95.00,Shopping,Credit Card,Macy's,3009.25
2024-03-27,Gasoline,Debit,-38.40,Transportation,Debit Card,Shell Gas Station,2970.85
2024-03-27,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2966.10
2024-03-27,Dinner,Debit,-65.00,Dining Out,Credit Card,Chili's,2901.10
2024-03-28,Online Shopping,Debit,-85.00,Shopping,Credit Card,Amazon,2816.10
2024-03-28,Lunch,Debit,-15.50,Dining Out,Debit Card,Panera Bread,2800.60
2024-03-28,Movie Tickets,Debit,-24.00,Entertainment,Debit Card,AMC Theaters,2776.60
2024-03-29,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2771.85
2024-03-29,Pharmacy Purchase,Debit,-32.00,Medical,Debit Card,Walgreens,2739.85
2024-03-29,Lunch,Debit,-14.75,Dining Out,Debit Card,Subway,2725.10
2024-03-30,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,2680.10
2024-03-30,Gasoline,Debit,-39.10,Transportation,Debit Card,BP Gas Station,2641.00
2024-03-30,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2636.25
2024-03-31,Grocery Shopping,Debit,-135.00,Groceries,Debit Card,Walmart,2501.25
2024-03-31,Lunch,Debit,-15.75,Dining Out,Debit Card,Five Guys,2485.50
2024-03-31,Book Purchase,Debit,-22.50,Education,Credit Card,Amazon,2463.00
2024-03-31,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Netflix,2453.01
2024-03-31,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,2448.26
2024-04-01,Starting Balance,Credit,0.00,Opening Balance,Account Transfer,Bank,2448.26
2024-04-01,Rent Payment,Debit,-1500.00,Rent,ACH Transfer,Sunset Apartments,948.26
2024-04-01,Grocery Shopping,Debit,-128.40,Groceries,Debit Card,Whole Foods,819.86
2024-04-01,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,815.11
2024-04-02,Online Subscription,Debit,-12.99,Entertainment,Online Payment,Netflix,802.12
2024-04-02,Electric Bill,Debit,-90.00,Utilities,ACH Transfer,Electric Company,712.12
2024-04-02,Lunch,Debit,-15.50,Dining Out,Debit Card,Subway,696.62
2024-04-03,Gasoline,Debit,-39.30,Transportation,Debit Card,Shell Gas Station,657.32
2024-04-03,Grocery Shopping,Debit,-94.50,Groceries,Debit Card,Trader Joe's,562.82
2024-04-03,Book Purchase,Debit,-24.00,Education,Credit Card,Amazon,538.82
2024-04-04,Coffee Purchase,Debit,-4.75,Dining Out,Debit Card,Starbucks,534.07
2024-04-04,Streaming Service,Debit,-9.99,Entertainment,Online Payment,Spotify,524.08
2024-04-04,Lunch,Debit,-14.00,Dining Out,Debit Card,Panera Bread,510.08
2024-04-05,Gym Membership,Debit,-45.00,Health,Online Payment,Planet Fitness,465.08
2024-04-05,Dinner,Debit,-60.00,Dining Out,Credit Card,Olive Garden,405.08
2024-04-05,Movie Tickets,Debit,-27.00,Entertainment,Debit Card,AMC Theaters,378.08
